Area Code,Day Mins,State,Prob,Eve Mins,Population variance of CustServ Calls,Population variance of Intl Mins
408,278.4,AK,2.143344585e-11,81,0,0
415,278,AK,0.008141052,253.2,0,0
415,262.3,AK,0.151518597,198.9,0,0
415,252.4,AK,0.111987487,187.8,0,0
415,248.7,AK,0.040660196,172.3,0,0
408,245,AK,2.143344585e-11,216.9,0,0
415,242.5,AK,0.138260460,102.8,0,0
510,238.4,AK,2.143344585e-11,246.5,0,0
408,225.1,AK,2.143344585e-11,199.2,0,0
408,217,AK,2.143344585e-11,152.3,0,0
415,211.7,AK,0.046210432,159.9,0,0
415,203.9,AK,0.199415058,187.6,0,0
415,195.9,AK,0.240292034,228.6,0,0
510,190.9,AK,2.143344585e-11,226.6,0,0
510,190.3,AK,2.143344585e-11,194.5,0,0
510,185,AK,2.143344585e-11,232.5,0,0
408,183.6,AK,2.143344585e-11,58.6,0,0
510,183.2,AK,2.143344585e-11,126.8,0,0
510,182.5,AK,2.143344585e-11,204.7,0,0
408,182.3,AK,2.143344585e-11,169.9,0,0
415,181.5,AK,0.256715517,205.1,0,0
510,181.1,AK,2.143344585e-11,314.4,0,0
415,178.4,AK,0.035154727,168.3,0,0
415,175.7,AK,0.086207611,187.2,0,0
408,175.2,AK,2.143344585e-11,151.7,0,0
510,174.9,AK,2.143344585e-11,262,0,0
415,172.8,AK,0.549660477,183.1,0,0
510,172.5,AK,2.143344585e-11,142.6,0,0
415,170.9,AK,0.031199553,201.4,0,0
415,160.1,AK,0.300009186,168.7,0,0
408,159.5,AK,2.143344585e-11,167.2,0,0
415,159.3,AK,0.032511077,125.9,0,0
408,150.8,AK,2.143344585e-11,295.9,0,0
408,150,AK,2.143344585e-11,159.4,0,0
415,148.4,AK,0.008156833,193.8,0,0
510,148.3,AK,2.143344585e-11,181.6,0,0
408,146.3,AK,2.143344585e-11,162.5,0,0
510,135.8,AK,2.143344585e-11,200.6,0,0
510,133,AK,2.143344585e-11,262.8,0,0
415,103,AK,0.023780685,242.3,0,0
408,100.1,AK,2.143344585e-11,233.3,0,0
408,83.2,AK,2.143344585e-11,190.6,0,0
415,58.2,AK,0.740119020,138.7,0,0
510,308,AL,2.143344585e-11,247.8,0,0
408,267.9,AL,1.000000000,223,0,0
408,264.9,AL,1.000000000,281.2,0,0
415,264.4,AL,2.220446049e-16,219.6,0,0
415,262.9,AL,2.220446049e-16,149.5,0,0
415,254.4,AL,2.220446049e-16,161.7,0,0
408,246.6,AL,1.633731746e-10,141.4,0,0
415,242.9,AL,2.220446049e-16,170.9,0,0
408,242.8,AL,7.328351200e-11,234.1,0,0
408,242.2,AL,3.966815862e-10,159.7,0,0
415,237.7,AL,2.220446049e-16,207.1,0,0
408,237.2,AL,2.220446049e-16,222.6,0,0
415,232.5,AL,2.220446049e-16,205.5,0,0
510,232.4,AL,2.143344585e-11,186,0,0
510,230.9,AL,2.143344585e-11,187.4,0,0
415,230.3,AL,2.220446049e-16,77.9,0,0
415,229.9,AL,8.122140681e-10,202.4,0,0
408,224.7,AL,2.220446049e-16,129.4,0,0
510,223.4,AL,2.143344585e-11,220.6,0,0
415,223,AL,2.220446049e-16,110.1,0,0
408,218.9,AL,2.220446049e-16,299.9,0,0
415,217.8,AL,2.220446049e-16,189.7,0,0
415,214.4,AL,2.220446049e-16,235.2,0,0
415,212.9,AL,2.220446049e-16,187,0,0
408,209.5,AL,2.220446049e-16,172.8,0,0
510,207.6,AL,2.143344585e-11,132.4,0,0
408,202.3,AL,2.220446049e-16,201.5,0,0
415,200.6,AL,2.220446049e-16,289.5,0,0
415,194.6,AL,2.220446049e-16,232.8,0,0
510,194.4,AL,2.143344585e-11,254.9,0,0
415,192.7,AL,2.220446049e-16,225.9,0,0
510,192.3,AL,2.143344585e-11,88.7,0,0
415,192.2,AL,2.220446049e-16,168.6,0,0
415,191.9,AL,0.999999999,256.1,0,0
415,190.3,AL,2.220446049e-16,249,0,0
510,189.4,AL,2.143344585e-11,219,0,0
415,183.4,AL,2.220446049e-16,237.6,0,0
415,181.9,AL,2.220446049e-16,151.5,0,0
415,178,AL,2.220446049e-16,153.8,0,0
415,177.5,AL,2.220446049e-16,287.4,0,0
408,169.3,AL,2.220446049e-16,156,0,0
415,166.5,AL,2.220446049e-16,261,0,0
415,163,AL,2.220446049e-16,219.1,0,0
415,161.9,AL,2.054469919e-13,230.1,0,0
408,161,AL,2.220446049e-16,190.9,0,0
415,160.3,AL,2.220446049e-16,221.3,0,0
510,158.7,AL,2.143344585e-11,181.7,0,0
415,154,AL,2.220446049e-16,185.5,0,0
510,153.4,AL,2.143344585e-11,198.5,0,0
408,151.8,AL,2.220446049e-16,103.6,0,0
415,143.1,AL,2.220446049e-16,239.6,0,0
408,141.3,AL,2.220446049e-16,168,0,0
415,128.3,AL,1.000000000,197.1,0,0
408,128.2,AL,2.220446049e-16,133.2,0,0
415,128.1,AL,2.220446049e-16,143.4,0,0
408,127.9,AL,2.220446049e-16,271.2,0,0
415,127.3,AL,1,222.3,0,0
510,109.4,AL,2.143344585e-11,207.5,0,0
415,103.3,AL,2.220446049e-16,138.5,0,0
415,98.8,AL,2.220446049e-16,146.9,0,0
415,95,AL,3.975090825e-10,291.2,0,0
408,86.8,AL,2.220446049e-16,108.1,0,0
408,83.6,AL,2.220446049e-16,203.9,0,0
408,268,AR,5.639373561e-12,153.6,0,0
415,267.8,AR,0.997095777,316.4,0,0
415,253,AR,0.302976936,138.9,0,0
408,251.9,AR,1.093697974e-11,194.6,0,0
415,247.6,AR,0.209054901,256.3,0,0
415,247.5,AR,0.349638206,225.4,0,0
510,242.3,AR,1.000000000,350.9,0,0
415,238.9,AR,0.219406310,187.2,0,0
415,227.1,AR,0.964433601,120.5,0,0
415,224.2,AR,0.088850600,314.9,0,0
415,215.1,AR,0.058460348,197.4,0,0
510,214.9,AR,3.654482366e-11,198.2,0,0
415,209.7,AR,0.118622293,183.6,0,0
408,206.9,AR,2.220446049e-16,167.7,0,0
415,199.2,AR,0.642363176,187.3,0,0
408,197,AR,2.220446049e-16,202.6,0,0
510,192.8,AR,3.615730018e-11,158,0,0
408,185.8,AR,2.588593576e-11,192.3,0,0
415,185.4,AR,0.419065257,197.6,0,0
415,178.8,AR,0.027887419,178.4,0,0
510,175.4,AR,2.220446049e-16,250.7,0,0
510,172.7,AR,2.117586466e-12,139.1,0,0
510,170.7,AR,2.220446049e-16,240.2,0,0
415,164,AR,0.002021159,153.1,0,0
510,160.7,AR,2.220446049e-16,146.8,0,0
415,157.6,AR,0.005347209,184.3,0,0
415,157.3,AR,0.003576938,257.7,0,0
415,157,AR,0.220696182,256.9,0,0
408,154.6,AR,2.220446049e-16,263,0,0
408,152.9,AR,8.069057027e-11,171.2,0,0
408,152.2,AR,3.277268235e-12,177.2,0,0
510,148.5,AR,7.554633409e-12,146.5,0,0
510,146.5,AR,2.220446049e-16,284.5,0,0
415,146.3,AR,0.031848712,218.7,0,0
408,145.7,AR,2.220446049e-16,191,0,0
415,143.2,AR,0.627238667,179.5,0,0
510,142.5,AR,2.220446049e-16,195.7,0,0
415,139.3,AR,0.999165825,192.3,0,0
408,136.2,AR,2.220446049e-16,165.1,0,0
415,133.3,AR,0.626369103,182.9,0,0
510,133.1,AR,2.220446049e-16,221.2,0,0
415,124.3,AR,0.012776414,173,0,0
415,122.2,AR,0.960245565,131.7,0,0
415,111.2,AR,0.990730141,263.5,0,0
408,107.3,AR,1.000000000,238.2,0,0
415,96.7,AR,0.119344250,193.8,0,0
415,69.4,AR,0.002785011,190.8,0,0
408,55.3,AR,2.390336756e-11,164.7,0,0
510,272.4,AZ,2.220446049e-16,107.9,0,0
415,271.6,AZ,2.114699691e-10,229.4,0,0
415,268.4,AZ,1.000000000,150.6,0,0
415,253.5,AZ,2.220446049e-16,117.9,0,0
408,249.6,AZ,1.000000000,252.4,0,0
408,239.9,AZ,4.693030227e-11,174.8,0,0
408,238.1,AZ,2.633477050e-11,187.2,0,0
415,232.4,AZ,2.220446049e-16,153.3,0,0
415,220.8,AZ,2.895798394e-10,156.2,0,0
415,220.7,AZ,3.168635521e-11,119.3,0,0
510,215.4,AZ,2.220446049e-16,328.7,0,0
415,210.7,AZ,1.357412399e-10,219.2,0,0
510,205.2,AZ,2.220446049e-16,240.6,0,0
510,204.5,AZ,2.220446049e-16,139.6,0,0
415,198.2,AZ,2.220446049e-16,207.3,0,0
415,194.9,AZ,2.220446049e-16,191.6,0,0
415,193.3,AZ,2.220446049e-16,154.7,0,0
415,183,AZ,2.220446049e-16,72.9,0,0
408,181.8,AZ,2.220446049e-16,202.4,0,0
415,179.3,AZ,2.220446049e-16,252.7,0,0
415,179.2,AZ,2.220446049e-16,210.7,0,0
415,179.1,AZ,2.220446049e-16,190.6,0,0
510,178.7,AZ,1.705431143e-10,215.7,0,0
408,173.2,AZ,2.220446049e-16,196.8,0,0
415,172.8,AZ,2.220446049e-16,193.4,0,0
408,170.1,AZ,1.749460940e-11,193.3,0,0
408,169.7,AZ,5.402691316e-13,165.9,0,0
408,167.6,AZ,2.220446049e-16,332.2,2.25,0.0625
408,158,AZ,2.220446049e-16,207.9,0,0
415,156.2,AZ,2.220446049e-16,215.5,0,0
415,155.9,AZ,2.220446049e-16,162.3,0,0
510,154,AZ,1.000000000,198.9,0,0
415,153.7,AZ,2.220446049e-16,137.8,0,0
408,150.2,AZ,2.007088440e-11,185.7,0,0
408,149.8,AZ,2.220446049e-16,164.4,0,0
415,142.9,AZ,2.220446049e-16,88.6,0,0
415,141.1,AZ,2.220446049e-16,147.2,0,0
415,137.8,AZ,2.220446049e-16,235.5,0,0
408,137.3,AZ,2.220446049e-16,184.2,0,0
415,134.2,AZ,2.220446049e-16,211.9,0,0
415,131.1,AZ,2.220446049e-16,176.2,0,0
510,121.5,AZ,3.223327029e-13,271.4,0,0
510,110.9,AZ,4.494828947e-11,158.5,0,0
415,104.7,AZ,2.220446049e-16,82.2,0,0
415,98.2,AZ,2.220446049e-16,180.5,0,0
510,92,AZ,2.160677807e-11,253.6,0,0
415,87.6,AZ,2.220446049e-16,266.9,0,0
510,81.3,AZ,2.220446049e-16,220.6,0,0
510,78.7,AZ,2.220446049e-16,225.6,0,0
415,58.9,AZ,2.220446049e-16,169.6,0,0
415,280,CA,0.138082753,202.2,0,0
415,268.6,CA,0.308655225,178.2,0,0
415,252.1,CA,0.028229673,226.1,0,0
408,249.8,CA,1.000000000,242.4,0,0
510,239.9,CA,1,261.6,0,0
415,218,CA,0.465560252,114.4,0,0
415,210.3,CA,0.186371710,241.8,0,0
415,208.7,CA,0.114849682,212.8,0,0
415,199.3,CA,0.352885170,193.4,0,0
510,196.2,CA,1.000000000,176.5,0,0
415,191.1,CA,0.107495619,129.2,0,0
415,189.6,CA,0.623901262,179,0,0
510,183.4,CA,5.430572605e-12,195.5,0,0
415,183.4,CA,0.039203621,281.3,0,0
415,183,CA,0.361960240,206.7,0,0
415,178.7,CA,0.049740088,178.6,0,0
415,165.8,CA,0.000786061,186.9,0,0
510,163.6,CA,5.532239797e-11,146.7,0,0
510,157.6,CA,1.000000000,194.1,0,0
510,155.9,CA,5.044844212e-11,224.2,0,0
415,149.9,CA,0.966752830,170.9,0,0
408,139.6,CA,5.826214639e-11,250.2,0,0
510,134.8,CA,2.220446049e-16,204.1,0,0
415,111.9,CA,0.837637159,114,0,0
415,109.6,CA,0.417888655,249.3,0,0
510,107.9,CA,2.220446049e-16,187,0,0
415,350.8,CO,0.633699601,216.5,0,0
415,294.9,CO,0.213941627,165.7,0,0
510,283.2,CO,2.143344585e-11,239.7,0,0
415,277.5,CO,0.233315394,131.8,0,0
408,277,CO,0.597445277,238.3,0,0
408,271.8,CO,0.716424259,237.2,0,0
408,270.9,CO,0.558684564,226.2,0,0
408,257.1,CO,0.323881168,312.2,0,0
408,237.1,CO,0.061574358,223.5,0,0
408,236.2,CO,0.146015377,189.4,0,0
415,225.2,CO,0.021197052,215.1,0,0
415,221.6,CO,0.243928192,285.2,0,0
415,217.8,CO,0.075021746,214.7,0,0
415,215.6,CO,0.003761259,195.3,0,0
415,211.8,CO,0.294950713,230.9,0,0
415,211.2,CO,0.010381213,252.7,0,0
510,205.5,CO,2.143344585e-11,219.3,0,0
415,204.5,CO,0.490698891,162.4,0,0
408,199.5,CO,0.243678818,207.5,0,0
408,198.4,CO,0.724862018,75.3,0,0
415,197.8,CO,0.385589277,133.9,0,0
415,194.8,CO,0.069837520,209.9,0,0
408,190.2,CO,0.561835496,166.4,0,0
408,188.8,CO,0.501563078,217.4,0,0
415,184.7,CO,0.078532058,262,0,0
408,183.8,CO,0.180295701,229.7,0,0
510,182.1,CO,2.143344585e-11,164.6,0,0
408,171.8,CO,0.078922528,301.7,0,0
415,170.8,CO,0.078093703,236.7,0,0
408,167.7,CO,0.100588061,93.7,0,0
510,158.8,CO,2.143344585e-11,188.5,0,0
510,153.6,CO,2.143344585e-11,205.5,0,0
415,153.5,CO,0.042815646,241.9,0,0
408,151.5,CO,0.044368062,147.8,0,0
408,150.5,CO,0.367315120,152.9,0,0
415,149.7,CO,0.078528455,212.5,0,0
415,148.6,CO,0.005263284,131.1,0,0
408,141.7,CO,0.093251719,268.3,0,0
415,138.1,CO,0.010206895,164.5,0,0
415,133.8,CO,0.007587778,180.5,0,0
415,131.8,CO,0.018891925,136.7,0,0
415,127,CO,0.002932279,323.2,0,0
408,125.1,CO,0.087130203,248.8,0,0
408,124.3,CO,0.010722664,207.1,0,0
408,120.5,CO,0.027524424,227.8,0,0
510,117.6,CO,2.143344585e-11,159.2,0,0
408,115.3,CO,0.004743252,224.7,0,0
415,85.9,CO,0.000584555,193.9,0,0
408,62.4,CO,0.569173861,169.9,0,0
510,61.9,CO,2.143344585e-11,262.6,0,0
415,30.9,CO,0.000240939,187,0,0
510,321.6,CT,1.000000000,251.6,0,0
408,301.7,CT,1.238527186e-09,167.1,0,0
408,294.2,CT,1.000000000,232.5,0,0
415,283.1,CT,0.511894625,286.2,0,0
415,271.1,CT,0.360954182,237.4,0,0
415,245,CT,0.799705710,250.7,0,0
415,240,CT,0.605932765,134.1,0,0
408,239.1,CT,2.220446049e-16,209.1,0,0
415,234.9,CT,0.939562100,270.8,0,0
408,231.9,CT,2.220446049e-16,211.8,0,0
415,229.4,CT,0.134509564,257.4,0,0
415,225.3,CT,0.886961442,108.2,0,0
415,221.8,CT,0.140179925,166,0,0
510,220.8,CT,4.816146699e-12,265.7,0,0
415,215.3,CT,0.676892111,242.4,0,0
510,213.8,CT,2.220446049e-16,159.6,0,0
408,213.4,CT,2.220446049e-16,204.9,0,0
415,213,CT,0.248192942,226.2,0,0
408,207.7,CT,2.220446049e-16,210.6,0,0
415,206.1,CT,0.133511207,224.6,0,0
510,203.8,CT,6.472084052e-12,205.1,0,0
408,202,CT,0.999999998,184.3,0,0
408,198.6,CT,2.220446049e-16,213.9,0,0
415,198.4,CT,0.117512651,235.9,0,0
510,196.6,CT,4.056155577e-11,180.6,0,0
408,190,CT,2.220446049e-16,116.6,0,0
510,189.3,CT,3.521011844e-11,220.9,0,0
415,187.3,CT,0.298425742,160.7,0,0
408,186.7,CT,2.220446049e-16,335,0,0
408,177.2,CT,2.220446049e-16,228.7,0,0
415,177.1,CT,0.018463108,163.7,0,0
415,175.9,CT,0.596959271,285.2,0,0
510,174.8,CT,2.393352840e-11,219.6,0,0
415,171.9,CT,0.223977648,159,0,0
510,165.4,CT,2.220446049e-16,183.7,0,0
510,165.3,CT,2.220446049e-16,223.5,0,0
415,162.3,CT,0.177168842,149.1,0,0
415,161.8,CT,0.025717622,273,0,0
415,151,CT,0.035146426,120.6,0,0
415,146.7,CT,0.012852631,274,0,0
415,142.4,CT,0.016909042,318.7,0,0
408,137.6,CT,1.367120625e-09,162,0,0
415,137.4,CT,0.009052535,176.7,0,0
408,134.9,CT,2.220446049e-16,248.4,0,0
415,126,CT,0.012784291,144.3,0,0
415,124.4,CT,0.005930694,320.9,0,0
408,118.1,CT,2.220446049e-16,144.3,0,0
415,115.5,CT,0.000669762,252.2,0,0
415,115,CT,0.004956001,137.8,0,0
510,107.2,CT,2.220446049e-16,86.8,0,0
408,103.4,CT,2.220446049e-16,189.3,0,0
415,100.1,CT,0.000810767,246.3,0,0
408,95.4,CT,5.765806654e-10,207.2,0,0
408,90.7,CT,2.220446049e-16,207.5,0,0
415,82.3,CT,0.004208542,167.2,0,0
510,81.6,CT,2.220446049e-16,235.6,0,0
408,49.2,CT,2.220446049e-16,143.9,0,0
415,37.8,CT,0.000157897,155.3,0,0
408,306.2,DC,1.925593055e-12,189.7,0,0
415,257.3,DC,0.008674559,184.8,0,0
415,252.9,DC,0.029588622,284.3,0,0
415,244.1,DC,0.036846161,203.4,0,0
408,239.8,DC,2.220446049e-16,221.9,0,0
415,231.8,DC,0.004942787,232.9,0,0
510,227.4,DC,2.143344585e-11,211.5,0,0
415,224.4,DC,0.018385398,147.9,0,0
510,222.6,DC,2.143344585e-11,190.3,0,0
415,221.6,DC,0.030083291,130.2,0,0
415,219.5,DC,0.016322896,222.1,0,0
510,219.2,DC,2.143344585e-11,206,0,0
408,215.9,DC,2.220446049e-16,200.6,0,0
415,211,DC,0.120372415,217,0,0
415,209.2,DC,0.234172781,116.6,0,0
510,204.5,DC,2.143344585e-11,208.8,0,0
510,203.2,DC,2.143344585e-11,152.5,0,0
415,202,DC,0.024219576,243.2,0,0
415,190.6,DC,0.126895204,220.1,0,0
415,186.8,DC,0.029598506,173.7,0,0
415,185.4,DC,0.203681363,178.5,0,0
510,184.1,DC,2.143344585e-11,204.9,0,0
408,178.7,DC,2.220446049e-16,271,0,0
415,169.8,DC,0.016243902,65.2,0,0
408,168.6,DC,8.088897579e-11,356.3,0.25,1.102500000
415,167.3,DC,0.041191792,230,0,0
408,164.5,DC,4.933103698e-11,230.9,0,0
415,161.4,DC,0.004217159,220.6,0,0
415,152.8,DC,0.018567548,183.6,0,0
408,149,DC,1.000000000,131,0,0
415,147.1,DC,0.504280320,161,0,0
415,146.4,DC,0.019737915,196.5,0,0
510,143.9,DC,2.143344585e-11,194.9,0,0
415,142,DC,0.049856849,241.6,0,0
510,138.6,DC,2.143344585e-11,172.3,0,0
415,133.3,DC,0.026715423,255.5,0,0
510,132.4,DC,2.143344585e-11,200.3,0,0
408,132,DC,2.220446049e-16,173.3,0,0
408,124.7,DC,2.220446049e-16,250.4,0,0
415,123.7,DC,0.026031622,248.5,0,0
510,122.4,DC,2.143344585e-11,143.8,0,0
408,122,DC,9.849061557e-11,138.3,0,0
510,107.7,DC,2.143344585e-11,188.9,0,0
415,96.1,DC,0.037677799,246.8,0,0
415,85.7,DC,0.156303079,247.7,0,0
408,83,DC,2.220446049e-16,177,0,0
510,68.5,DC,2.143344585e-11,337.1,0,0
415,57.1,DC,0.215393037,199.7,0,0
408,51.5,DC,2.220446049e-16,164,0,0
510,334.3,DE,1.000000000,192.1,0,0
415,254.8,DE,2.220446049e-16,143.4,0,0
510,250.6,DE,2.220446049e-16,187.9,0,0
415,243.1,DE,2.220446049e-16,213.8,0,0
415,222.8,DE,5.814728429e-12,180.5,0,0
415,217.4,DE,2.220446049e-16,213.8,0,0
408,215.6,DE,2.143344585e-11,192.9,0,0
415,214.1,DE,2.220446049e-16,240.5,0,0
510,211.5,DE,1.267122487e-10,184.6,0,0
510,209.4,DE,2.220446049e-16,132.5,0,0
510,200.6,DE,1.014495951e-10,164.1,0,0
415,198.5,DE,2.220446049e-16,266.6,0,0
415,197.9,DE,2.220446049e-16,181.5,0,0
408,197.1,DE,2.143344585e-11,165.9,0,0
415,197,DE,2.220446049e-16,269.3,0,0
415,195.9,DE,1.408069059e-10,227,0,0
408,187,DE,2.143344585e-11,134.6,0,0
510,186.9,DE,2.220446049e-16,240,0,0
510,184.2,DE,2.220446049e-16,181.6,0,0
408,182.3,DE,2.143344585e-11,328.2,0,0
510,181.5,DE,2.220446049e-16,196.9,0,0
415,179.9,DE,2.220446049e-16,189.2,0,0
415,177.2,DE,2.220446049e-16,248.9,0,0
415,176.8,DE,2.220446049e-16,224.7,0,0
415,175.8,DE,2.220446049e-16,206.6,0,0
510,171.5,DE,1.000000000,160,0,0
510,169.6,DE,2.220446049e-16,264.1,0,0
415,168.8,DE,9.073664532e-11,241.4,0,0
510,157.1,DE,1.000000000,184.9,0,0
415,153.6,DE,1.000000000,232.9,0,0
415,150,DE,2.220446049e-16,293.8,0,0
510,148.5,DE,2.220446049e-16,276.4,0,0
415,140.7,DE,2.220446049e-16,210.9,0,0
408,139,DE,2.143344585e-11,132.9,0,0
415,128.6,DE,1.686638455e-10,134,0,0
408,127.7,DE,2.143344585e-11,182.9,0,0
408,126.7,DE,2.143344585e-11,206,0,0
408,117.1,DE,2.143344585e-11,249.6,0,0
415,103.7,DE,2.220446049e-16,236.3,0,0
415,101.7,DE,2.220446049e-16,202.8,0,0
408,101.1,DE,2.143344585e-11,214.4,0,0
408,94.4,DE,2.143344585e-11,215.1,0,0
415,86.5,DE,2.220446049e-16,285.2,0,0
408,288.1,FL,2.143344585e-11,137.9,0,0
510,278.5,FL,0.641458388,240.7,0,0
415,267.4,FL,4.692903735e-11,204.2,0,0
415,266.6,FL,1.000000000,264.8,0,0
415,242.5,FL,2.220446049e-16,162.3,0,0
408,228.6,FL,2.143344585e-11,248.5,0,0
510,226.7,FL,0.929620348,228.1,0,0
510,226.2,FL,0.314731676,181.6,0,0
510,210.7,FL,0.255313694,238.7,0,0
408,207.9,FL,2.143344585e-11,233.5,0,0
415,207.3,FL,4.360817098e-11,137.3,0,0
415,207.1,FL,2.220446049e-16,200.1,0,0
510,203.1,FL,0.561008085,210.1,0,0
415,202.3,FL,3.465559853e-11,69.2,0,0
510,201.7,FL,0.050365012,169.4,0,0
408,199.2,FL,2.143344585e-11,214.7,0,0
415,197.4,FL,2.220446049e-16,123.4,0,0
415,193.4,FL,1.256911333e-11,240.6,0,0
510,192.1,FL,0.164068239,312.9,0,0
415,181.8,FL,2.220446049e-16,198.6,0,0
415,181.4,FL,2.220446049e-16,167.7,0,0
415,176,FL,3.160276482e-11,277.9,0,0
408,165.9,FL,2.143344585e-11,216.5,0,0
415,162.8,FL,2.220446049e-16,290.3,0,0
510,159.6,FL,0.090820815,276.8,0,0
415,158.7,FL,2.220446049e-16,198.4,0,0
415,156.1,FL,2.220446049e-16,180.3,0,0
408,155.3,FL,2.143344585e-11,265.7,0,0
415,155.1,FL,2.220446049e-16,239.7,0,0
415,153.5,FL,2.220446049e-16,219.1,0,0
415,151.4,FL,2.220446049e-16,186.4,0,0
510,148.2,FL,0.084948990,159.6,0,0
408,146.4,FL,2.143344585e-11,176.6,0,0
510,142.1,FL,0.172873426,183.4,0,0
510,130.5,FL,0.379716205,208.4,0,0
510,130.2,FL,0.489528966,290.9,0,0
510,118.5,FL,0.546817758,213.9,0,0
408,116.2,FL,2.143344585e-11,229.7,0,0
415,113.9,FL,2.220446049e-16,145.3,0,0
415,109.2,FL,1.545098706e-12,153.1,0,0
510,107,FL,0.425486256,105.7,0,0
510,93.5,FL,0.141065030,183.4,0,0
510,92.6,FL,0.496044058,177.6,0,0
415,76.4,FL,2.220446049e-16,115.6,0,0
408,55.6,FL,2.143344585e-11,288.7,0,0
510,47.7,FL,0.256133064,264.4,0,0
510,288.1,GA,0.378642809,258,0,0
415,287.4,GA,1,259.6,0,0
415,258.4,GA,7.581236348e-10,126.8,0,0
415,249.5,GA,2.220446049e-16,259.7,0,0
510,243.1,GA,0.148728249,231.4,0,0
408,239.2,GA,2.220446049e-16,235.5,0,0
415,236.1,GA,2.220446049e-16,289.2,0,0
408,234.5,GA,2.623864326e-11,195.2,0,0
510,230.5,GA,0.477433726,265.8,0,0
408,227.4,GA,2.220446049e-16,176,0,0
408,222.1,GA,1.000000000,160.6,0,0
415,220,GA,2.220446049e-16,217.3,0,0
510,216.9,GA,0.472727119,211,0,0
408,214.3,GA,1.409645685e-12,289.8,0,0
415,213,GA,0.999999999,176.6,0,0
510,208,GA,0.011856610,198.9,0,0
408,203.6,GA,8.985678037e-11,161.7,0,0
415,200.1,GA,2.220446049e-16,188.9,0,0
415,197.1,GA,2.220446049e-16,259.4,0,0
510,194.5,GA,0.002198969,186.3,0,0
415,193.3,GA,0.999999999,128.3,0,0
510,189.8,GA,0.009533461,163.3,0,0
415,181.8,GA,2.220446049e-16,228.1,0,0
415,179.5,GA,2.220446049e-16,191.9,0,0
415,174.3,GA,7.413410582e-10,171.3,0,0
408,169.9,GA,2.220446049e-16,138.3,0,0
408,165.4,GA,8.284273067e-11,115.7,0,0
415,164.6,GA,2.220446049e-16,262.8,0,0
415,163.4,GA,2.220446049e-16,249.3,0,0
408,157.6,GA,2.220446049e-16,198.3,0,0
510,149.9,GA,0.018656098,256.1,0,0
510,140,GA,0.279745948,196.4,0,0
415,127.1,GA,2.220446049e-16,172.1,0,0
408,126.3,GA,2.220446049e-16,166.8,0,0
510,124.1,GA,0.073320574,202.6,0,0
408,124.1,GA,2.220446049e-16,192.8,0,0
415,121,GA,2.220446049e-16,270.4,0,0
415,117.3,GA,2.220446049e-16,201.1,0,0
510,115.4,GA,0.123441864,178.7,0,0
415,113.2,GA,4.949383664e-10,189.3,0,0
408,98.2,GA,2.220446049e-16,186.7,0,0
510,72.7,GA,0.000750409,208.6,0,0
510,71.2,GA,0.002964180,304.4,0,0
415,291.6,HI,1.000000000,221.1,0,0
